2024-04-23 15:31:10 status unpacked libgd3:amd64 2.3.3-9ubuntu5
2024-04-23 15:31:10 install libc-devtools:amd64 <none> 2.39-0ubuntu8
2024-04-23 15:31:10 status half-installed libc-devtools:amd64 2.39-0ubuntu8
2024-04-23 15:31:10 status unpacked libc-devtools:amd64 2.39-0ubuntu8
2024-04-23 15:31:10 install linux-libc-dev:amd64 <none> 6.8.0-31.31
2024-04-23 15:31:10 status half-installed linux-libc-dev:amd64 6.8.0-31.31
2024-04-23 15:31:10 status unpacked linux-libc-dev:amd64 6.8.0-31.31
2024-04-23 15:31:10 install libcrypt-dev:amd64 <none> 1:4.4.36-4build1
2024-04-23 15:31:10 status half-installed libcrypt-dev:amd64 1:4.4.36-4build1
2024-04-23 15:31:10 status unpacked libcrypt-dev:amd64 1:4.4.36-4build1
2024-04-23 15:31:10 install rpcsvc-proto:amd64 <none> 1.4.2-0ubuntu7
2024-04-23 15:31:10 status half-installed rpcsvc-proto:amd64 1.4.2-0ubuntu7
2024-04-23 15:31:10 status unpacked rpcsvc-proto:amd64 1.4.2-0ubuntu7
2024-04-23 15:31:10 install libc6-dev:amd64 <none> 2.39-0ubuntu8
2024-04-23 15:31:10 status half-installed libc6-dev:amd64 2.39-0ubuntu8
2024-04-23 15:31:10 status unpacked libc6-dev:amd64 2.39-0ubuntu8
2024-04-23 15:31:10 install libheif-plugin-aomenc:amd64 <none> 1.17.6-1ubuntu4
2024-04-23 15:31:10 status half-installed libheif-plugin-aomenc:amd64 1.17.6-1ubuntu4
2024-04-23 15:31:10 status unpacked libheif-plugin-aomenc:amd64 1.17.6-1ubuntu4
2024-04-23 15:31:10 install linux-modules-6.8.0-1008-aws:amd64 <none> 6.8.0-1008.8
2024-04-23 15:31:10 status half-installed linux-modules-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:11 status unpacked linux-modules-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:11 install linux-image-6.8.0-1008-aws:amd64 <none> 6.8.0-1008.8
2024-04-23 15:31:11 status half-installed linux-image-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:11 status unpacked linux-image-6.8.0-1008-aws:amd64 6.8.0-1008.8
2024-04-23 15:31:11 install intel-microcode:amd64 <none> 3.20240312.1build1
2024-04-23 15:31:11 status half-installed intel-microcode:amd64 3.20240312.1build1
2024-04-23 15:31:11 status unpacked intel-microcode:amd64 3.20240312.1build1
2024-04-23 15:31:11 install amd64-microcode:amd64 <none> 3.20231019.1ubuntu2
2024-04-23 15:31:11 status half-installed amd64-microcode:amd64 3.20231019.1ubuntu2
2024-04-23 15:31:11 status unpacked amd64-microcode:amd64 3.20231019.1ubuntu2
